"Year","Value","Products.and.product.groups"
1980,38.3,"Wine purchased from stores"
1980,42.3,"Liquor purchased from stores"
1980,16.4,"Tobacco products and smokers' supplies"
1980,16.4,"Cigarettes"
1980,45.7,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1980,42.9,"All-items excluding food"
1980,44.1,"All-items excluding food and energy"
1980,45,"All-items excluding energy"
1980,44.6,"Food and energy"
1980,36,"Energy"
1980,46.4,"Housing (1986 definition)"
1980,43.9,"Shelter (1986 definition)"
1980,44,"Goods and services"
1980,47.6,"Goods"
1980,59.2,"Durable goods"
1980,55.2,"Semi-durable goods"
1980,41.8,"Non-durable goods"
1980,34.9,"Non-durable goods excluding food purchased from stores"
1980,46.2,"Goods excluding food purchased from stores"
1980,49.3,"Goods excluding food purchased from stores and energy"
1980,40.2,"Services"
1980,35.3,"Services excluding shelter services"
1981,49.5,"All-items"
1981,54.3,"Food"
1981,58,"Food purchased from stores"
1981,55.6,"Meat"
1981,57.2,"Fresh or frozen meat (excluding poultry)"
1981,57.7,"Fresh or frozen beef"
1981,57.1,"Fresh or frozen pork"
1981,57.8,"Fresh or frozen poultry"
1981,58.9,"Fresh or frozen chicken"
1981,54.1,"Other fresh or frozen poultry"
1981,49.3,"Fish"
1981,67.6,"Canned and other preserved fish"
1981,46.1,"Seafood and other marine products"
1981,55.7,"Dairy products and eggs"
1981,54.8,"Dairy products"
1981,57.9,"Fresh milk"
1981,54.9,"Butter"
1981,57.6,"Ice cream and related products"
1981,65.2,"Eggs"
1981,55.6,"Bakery and cereal products (excluding baby food)"
1981,55.7,"Bakery products"
1981,64.6,"Rice and rice-based mixes"
1981,42.1,"Breakfast cereal and other cereal products (excluding baby food)"
1981,66.6,"Pasta products"
1981,60.9,"Flour and flour-based mixes"
1981,57.5,"Fruit, fruit preparations and nuts"
1981,51.3,"Fresh fruit"
1981,36.8,"Apples"
1981,40.3,"Oranges"
1981,73.9,"Bananas"
1981,62.3,"Vegetables and vegetable preparations"
1981,64.2,"Fresh vegetables"
1981,53.8,"Potatoes"
1981,53.1,"Tomatoes"
1981,73.5,"Lettuce"
1981,64.1,"Canned vegetables and other vegetable preparations"
1981,68.5,"Sugar and confectionery"
